Index,Name
185,PlanumTemporale_L
186,SubcallosalArea_R
187,SubcallosalArea_L
190,SuperiorFrontalGyrus_R
191,SuperiorFrontalGyrus_L
192,SupplementaryMotorCortex_R
193,SupplementaryMotorCortex_L
194,SupramarginalGyrus_R
195,SupramarginalGyrus_L
196,SuperiorOccipitalGyrus_R
197,SuperiorOccipitalGyrus_L
198,Superior_parietalLobule_R
199,Superior_parietalLobule_L
200,SuperiorTemporalGyrus_R
201,SuperiorTemporalGyrus_L
202,TemporalPole_R
203,TemporalPole_L
204,TriangularPartInferiorFrontalGyrus_R
205,TriangularPartInferiorFrontalGyrus_L
206,TransverseTemporalGyrus_R
207,TransverseTemporalGyrus_L
